54	 2.06125	 1.31987	 0.97352	 0.96451	-0.40457	-0.41488	-0.07858	-0.06338	 0.15148	 0.15680	 0.11761	 0.11063	
55	-3.53823	-4.01548	 1.01902	 1.00607	-0.39423	-0.40526	-0.07060	-0.06022	 0.14042	 0.15049	 0.12323	 0.10730	
56	-8.76431	-9.12752	 1.06063	 1.04419	-0.38086	-0.39240	-0.05922	-0.05230	 0.12474	 0.14042	 0.12706	 0.10234	
57	-13.23624	-13.57243	 1.09537	 1.07544	-0.36529	-0.37780	-0.04562	-0.04020	 0.10600	 0.12736	 0.12648	 0.09863	
58	-17.15722	-17.50603	 1.12501	 1.10077	-0.34719	-0.36135	-0.02928	-0.02433	 0.08402	 0.11120	 0.12322	 0.09467	
59	-20.52188	-20.90451	 1.14758	 1.12179	-0.32674	-0.34333	-0.01033	-0.00516	 0.05914	 0.09221	 0.11847	 0.08952	
60	-23.32675	-23.75523	 1.15729	 1.14397	-0.30414	-0.32403	 0.01098	 0.01687	 0.03182	 0.07067	 0.11265	 0.08304	
61	-25.64789	-26.13127	 1.15928	 1.16245	-0.27868	-0.30291	 0.03521	 0.04227	 0.00146	 0.04588	 0.10570	 0.07502	
62	-27.31945	-27.85943	 1.16071	 1.16835	-0.25254	-0.28180	 0.06016	 0.06866	-0.02877	 0.01969	 0.09831	 0.06622	
63	-28.44918	-29.04724	 1.15892	 1.16515	-0.22517	-0.26012	 0.08622	 0.09640	-0.05829	-0.00951	 0.09043	 0.05655	
64	-29.05308	-29.70906	 1.15167	 1.15498	-0.19695	-0.23803	 0.11292	 0.12495	-0.08323	-0.04454	 0.08220	 0.04621	
65	-29.15172	-29.86421	 1.13824	 1.13850	-0.16830	-0.21564	 0.13975	 0.15374	-0.09837	-0.08960	 0.07378	 0.03543	
66	-28.76987	-29.53641	 1.11840	 1.11589	-0.13965	-0.19308	 0.16623	 0.18218	-0.13540	-0.11193	 0.06528	 0.02446	
